uint64 BYTES,uint64 BYTES_REV,time TIME_FIRST,time TIME_LAST,uint32 PACKETS,uint32 PACKETS_REV,uint16 DST_PORT,uint16 SRC_PORT,uint8 PROTOCOL,uint8 TCP_FLAGS,uint8 TCP_FLAGS_REV,string LABEL,int8* PPI_PKT_DIRECTIONS,uint8* PPI_PKT_FLAGS,uint16* PPI_PKT_LENGTHS,time* PPI_PKT_TIMES
148,439,2021-12-14T16:45:34.924601,2021-12-14T16:45:36.248354,2,2,14444,57104,6,24,24,Miner,[1|-1],[24|24],[68|359],[2021-12-14T16:45:34.924000|2021-12-14T16:45:36.198000]
1877,6770,2021-12-14T16:44:48.028528,2021-12-14T16:45:06.021925,20,22,5555,53200,6,31,27,Miner,[1|-1|-1|1|-1|1|-1|-1|1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1],[24|16|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24],[517|1380|1315|229|61|66|276|276|245|62|276|276|276|276|276|276|276|276|276|24],[2021-12-14T16:44:48.034000|2021-12-14T16:44:48.038000|2021-12-14T16:44:48.038000|2021-12-14T16:44:48.047000|2021-12-14T16:44:48.057000|2021-12-14T16:44:48.061000|2021-12-14T16:44:49.681000|2021-12-14T16:44:49.718000|2021-12-14T16:44:51.548000|2021-12-14T16:44:51.557000|2021-12-14T16:44:51.742000|2021-12-14T16:44:53.762000|2021-12-14T16:44:55.764000|2021-12-14T16:44:56.752000|2021-12-14T16:44:58.773000|2021-12-14T16:45:00.772000|2021-12-14T16:45:02.819000|2021-12-14T16:45:04.821000|2021-12-14T16:45:05.858000|2021-12-14T16:45:06.018000]
1245,2957,2021-12-14T16:45:41.751175,2021-12-14T16:45:41.932984,7,7,14433,52519,6,27,26,Miner,[1|-1|-1|1|-1|-1|-1],[24|16|24|24|24|24|24],[293|1460|278|660|255|255|417],[2021-12-14T16:45:41.773000|2021-12-14T16:45:41.790000|2021-12-14T16:45:41.790000|2021-12-14T16:45:41.802000|2021-12-14T16:45:41.818000|2021-12-14T16:45:41.818000|2021-12-14T16:45:41.866000]
148,439,2021-12-14T16:46:36.461784,2021-12-14T16:46:37.640681,2,2,14444,57104,6,24,24,Miner,[1|-1],[24|24],[68|359],[2021-12-14T16:46:36.461000|2021-12-14T16:46:37.409000]
1245,2957,2021-12-14T16:47:00.977326,2021-12-14T16:47:01.174947,7,7,14433,52571,6,27,26,Miner,[1|-1|-1|1|-1|-1|-1],[24|16|24|24|24|24|24],[293|1460|278|660|255|255|417],[2021-12-14T16:47:01.009000|2021-12-14T16:47:01.026000|2021-12-14T16:47:01.026000|2021-12-14T16:47:01.034000|2021-12-14T16:47:01.050000|2021-12-14T16:47:01.050000|2021-12-14T16:47:01.103000]
1285,3378,2021-12-14T16:46:14.428676,2021-12-14T16:46:38.336605,8,8,14433,52540,6,31,26,Miner,[1|-1|-1|1|-1|-1|-1|-1],[24|16|24|24|24|24|24|24],[293|1460|278|660|255|255|417|381],[2021-12-14T16:46:14.472000|2021-12-14T16:46:14.485000|2021-12-14T16:46:14.485000|2021-12-14T16:46:14.512000|2021-12-14T16:46:14.524000|2021-12-14T16:46:14.524000|2021-12-14T16:46:14.581000|2021-12-14T16:46:38.328000]
18318,20856,2021-12-14T16:43:03.704953,2021-12-14T16:48:03.858067,149,84,3333,61783,6,24,24,Miner,[1|-1|1|-1|1|-1|1|-1|1|-1|1|-1|1|-1|1|-1|-1|1|-1|1|-1|1|-1|1|-1|1|-1|1|-1|1],[24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24],[151|41|151|41|151|41|151|41|151|41|151|41|151|41|151|41|1268|151|41|151|41|151|41|151|41|151|41|151|41|151],[2021-12-14T16:43:07.369000|2021-12-14T16:43:07.390000|2021-12-14T16:43:07.825000|2021-12-14T16:43:07.846000|2021-12-14T16:43:09.601000|2021-12-14T16:43:09.622000|2021-12-14T16:43:16.020000|2021-12-14T16:43:16.040000|2021-12-14T16:43:23.239000|2021-12-14T16:43:23.260000|2021-12-14T16:43:24.692000|2021-12-14T16:43:24.713000|2021-12-14T16:43:25.256000|2021-12-14T16:43:25.277000|2021-12-14T16:43:32.192000|2021-12-14T16:43:32.212000|2021-12-14T16:43:33.652000|2021-12-14T16:43:35.188000|2021-12-14T16:43:35.208000|2021-12-14T16:43:35.715000|2021-12-14T16:43:35.735000|2021-12-14T16:43:38.679000|2021-12-14T16:43:38.700000|2021-12-14T16:43:46.056000|2021-12-14T16:43:46.077000|2021-12-14T16:43:50.840000|2021-12-14T16:43:50.861000|2021-12-14T16:43:51.272000|2021-12-14T16:43:51.292000|2021-12-14T16:43:53.685000]
15220,62412,2021-12-14T16:43:05.805730,2021-12-14T16:48:05.808159,253,262,4444,57754,6,24,24,Miner,[1|-1|-1|-1|-1|-1|-1|1|1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1|-1|-1|-1|-1|-1|-1|-1|-1|-1],[24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24],[79|254|254|254|254|254|254|79|166|39|254|254|254|254|254|254|254|254|254|254|79|254|254|254|254|254|254|254|254|254],[2021-12-14T16:43:06.103000|2021-12-14T16:43:07.314000|2021-12-14T16:43:09.354000|2021-12-14T16:43:10.666000|2021-12-14T16:43:12.601000|2021-12-14T16:43:14.622000|2021-12-14T16:43:15.656000|2021-12-14T16:43:16.103000|2021-12-14T16:43:16.103000|2021-12-14T16:43:16.122000|2021-12-14T16:43:16.691000|2021-12-14T16:43:18.684000|2021-12-14T16:43:19.349000|2021-12-14T16:43:19.414000|2021-12-14T16:43:19.480000|2021-12-14T16:43:21.460000|2021-12-14T16:43:22.508000|2021-12-14T16:43:25.137000|2021-12-14T16:43:25.350000|2021-12-14T16:43:25.814000|2021-12-14T16:43:26.104000|2021-12-14T16:43:28.168000|2021-12-14T16:43:30.214000|2021-12-14T16:43:30.347000|2021-12-14T16:43:31.575000|2021-12-14T16:43:32.587000|2021-12-14T16:43:32.983000|2021-12-14T16:43:34.021000|2021-12-14T16:43:34.162000|2021-12-14T16:43:35.220000]
12477,65693,2021-12-14T16:43:05.816078,2021-12-14T16:48:05.843353,217,220,5555,51305,6,24,24,Miner,[1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1],[24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24],[187|61|276|276|276|276|276|276|276|276|276|276|276|276|276|276|276|276|187|61|276|276|276|276|276|276|276|276|276|276],[2021-12-14T16:43:05.885000|2021-12-14T16:43:05.906000|2021-12-14T16:43:07.258000|2021-12-14T16:43:09.307000|2021-12-14T16:43:10.630000|2021-12-14T16:43:12.616000|2021-12-14T16:43:14.650000|2021-12-14T16:43:15.615000|2021-12-14T16:43:16.668000|2021-12-14T16:43:18.672000|2021-12-14T16:43:19.323000|2021-12-14T16:43:19.432000|2021-12-14T16:43:19.497000|2021-12-14T16:43:21.467000|2021-12-14T16:43:22.487000|2021-12-14T16:43:25.161000|2021-12-14T16:43:25.376000|2021-12-14T16:43:25.857000|2021-12-14T16:43:25.905000|2021-12-14T16:43:25.926000|2021-12-14T16:43:28.186000|2021-12-14T16:43:30.228000|2021-12-14T16:43:30.314000|2021-12-14T16:43:31.555000|2021-12-14T16:43:32.777000|2021-12-14T16:43:33.027000|2021-12-14T16:43:34.053000|2021-12-14T16:43:34.160000|2021-12-14T16:43:35.206000|2021-12-14T16:43:35.269000]
14586,62452,2021-12-14T16:43:06.721683,2021-12-14T16:48:06.966381,259,263,4444,64917,6,24,24,Miner,[1|-1|-1|-1|-1|-1|-1|-1|-1|1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1|1|-1|-1|-1|-1|-1|-1|-1|-1|-1],[24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24],[147|39|254|254|254|254|254|254|254|60|254|254|254|254|254|254|254|254|254|60|147|39|254|254|254|254|254|254|254|254],[2021-12-14T16:43:06.721000|2021-12-14T16:43:06.742000|2021-12-14T16:43:07.294000|2021-12-14T16:43:09.316000|2021-12-14T16:43:10.656000|2021-12-14T16:43:12.635000|2021-12-14T16:43:14.616000|2021-12-14T16:43:15.627000|2021-12-14T16:43:16.649000|2021-12-14T16:43:16.731000|2021-12-14T16:43:18.678000|2021-12-14T16:43:19.333000|2021-12-14T16:43:19.393000|2021-12-14T16:43:19.491000|2021-12-14T16:43:21.469000|2021-12-14T16:43:22.497000|2021-12-14T16:43:25.126000|2021-12-14T16:43:25.382000|2021-12-14T16:43:25.826000|2021-12-14T16:43:26.732000|2021-12-14T16:43:26.732000|2021-12-14T16:43:26.751000|2021-12-14T16:43:28.164000|2021-12-14T16:43:30.297000|2021-12-14T16:43:30.411000|2021-12-14T16:43:31.558000|2021-12-14T16:43:32.564000|2021-12-14T16:43:32.991000|2021-12-14T16:43:34.017000|2021-12-14T16:43:34.194000]
